Time,Temperature (°C),Light (Lux),Humidity (%RH),During USB (12)
2016-06-10 22:56:28,24.125,7.3,0.00,0
2016-06-10 22:56:38,24.125,7.3,0.00,0
2016-06-10 22:56:48,24.125,7.3,0.00,0
2016-06-10 22:56:58,24.125,7.3,0.00,0
2016-06-10 22:57:08,24.125,7.2,0.00,0
2016-06-10 22:57:18,24.125,7.2,0.00,0
2016-06-10 22:57:28,24.125,7.3,0.00,0
2016-06-10 22:57:38,24.125,7.3,0.00,0
2016-06-10 22:57:48,24.125,7.3,0.00,0
2016-06-10 22:57:58,24.125,7.2,0.00,0
2016-06-10 22:58:08,24.125,7.2,0.00,0
2016-06-10 22:58:18,24.125,7.3,0.00,0
2016-06-10 22:58:28,24.125,7.2,0.00,0
2016-06-10 22:58:38,24.125,7.3,0.00,0
2016-06-10 22:58:48,24.125,7.3,0.00,0
2016-06-10 22:58:58,24.125,7.2,0.00,0
2016-06-10 22:59:08,24.125,7.2,0.00,0
2016-06-10 22:59:18,24.125,7.3,0.00,0
2016-06-10 22:59:28,24.125,7.2,0.00,0
2016-06-10 22:59:38,24.125,7.3,0.00,0
2016-06-10 22:59:48,24.125,7.3,0.00,0
2016-06-10 22:59:58,24.125,7.3,0.00,0
2016-06-10 23:00:08,24.125,7.2,0.00,0
2016-06-10 23:00:18,24.125,7.2,0.00,0
2016-06-10 23:00:28,24.125,7.3,0.00,0
2016-06-10 23:00:38,24.125,7.2,0.00,0
2016-06-10 23:00:48,24.125,7.2,0.00,0
2016-06-10 23:00:58,24.125,7.3,0.00,0
2016-06-10 23:01:08,24.125,7.2,0.00,0
2016-06-10 23:01:18,24.125,7.3,0.00,0
2016-06-10 23:01:28,24.125,7.3,0.00,0
2016-06-10 23:01:38,24.125,7.1,0.00,0
2016-06-10 23:01:48,24.125,6.8,0.00,0
2016-06-10 23:01:58,24.125,6.9,0.00,0
2016-06-10 23:02:08,24.125,6.8,0.00,0
2016-06-10 23:02:18,24.125,6.8,0.00,0
2016-06-10 23:02:28,24.125,7.1,0.00,0
2016-06-10 23:02:38,24.125,7.1,0.00,0
2016-06-10 23:02:48,24.125,7.2,0.00,0
2016-06-10 23:02:58,24.125,7.1,0.00,0
2016-06-10 23:03:08,24.125,7.0,0.00,0
2016-06-10 23:03:18,24.125,7.1,0.00,0
2016-06-10 23:03:28,24.125,7.1,0.00,0
2016-06-10 23:03:38,24.125,7.1,0.00,0
2016-06-10 23:03:48,24.125,7.1,0.00,0
2016-06-10 23:03:58,24.125,7.1,0.00,0
2016-06-10 23:04:08,24.125,7.1,0.00,0
2016-06-10 23:04:18,24.125,7.1,0.00,0
2016-06-10 23:04:28,24.125,7.1,0.00,0
2016-06-10 23:04:38,24.125,7.1,0.00,0
2016-06-10 23:04:48,24.125,7.1,0.00,0
2016-06-10 23:04:58,24.125,7.1,0.00,0
2016-06-10 23:05:08,24.125,7.1,0.00,0
2016-06-10 23:05:18,24.125,6.9,0.00,0
2016-06-10 23:05:28,24.125,6.9,0.00,0
2016-06-10 23:05:38,24.125,7.0,0.00,0
2016-06-10 23:05:48,24.125,6.9,0.00,0
2016-06-10 23:05:58,24.125,6.9,0.00,0
2016-06-10 23:06:08,24.125,7.0,0.00,0
2016-06-10 23:06:18,24.125,6.9,0.00,0
2016-06-10 23:06:28,24.125,6.9,0.00,0
2016-06-10 23:06:38,24.125,7.0,0.00,0
2016-06-10 23:06:48,24.125,6.9,0.00,0
2016-06-10 23:06:58,24.125,7.0,0.00,0
2016-06-10 23:07:08,24.125,7.0,0.00,0
2016-06-10 23:07:18,24.125,6.9,0.00,0
2016-06-10 23:07:28,24.125,7.0,0.00,0
2016-06-10 23:07:38,24.125,6.9,0.00,0
2016-06-10 23:07:48,24.125,6.9,0.00,0
2016-06-10 23:07:58,24.125,6.9,0.00,0
2016-06-10 23:08:08,24.125,6.8,0.00,0
2016-06-10 23:08:18,24.125,6.8,0.00,0
2016-06-10 23:08:28,24.125,6.9,0.00,0
2016-06-10 23:08:38,24.125,6.8,0.00,0
2016-06-10 23:08:48,24.125,6.8,0.00,0
2016-06-10 23:08:58,24.125,6.9,0.00,0
2016-06-10 23:09:08,24.125,6.8,0.00,0
2016-06-10 23:09:18,24.125,6.9,0.00,0
2016-06-10 23:09:28,24.125,6.9,0.00,0
2016-06-10 23:09:38,24.187,6.8,0.00,0
2016-06-10 23:09:48,24.125,6.9,0.00,0
2016-06-10 23:09:58,24.125,6.9,0.00,0
2016-06-10 23:10:08,24.125,6.8,0.00,0
2016-06-10 23:10:18,24.187,6.9,0.00,0
2016-06-10 23:10:28,24.125,6.9,0.00,0
2016-06-10 23:10:38,24.125,6.8,0.00,0
2016-06-10 23:10:48,24.125,6.9,0.00,0
2016-06-10 23:10:58,24.125,6.8,0.00,0
2016-06-10 23:11:08,24.125,6.8,0.00,0
2016-06-10 23:11:18,24.125,6.9,0.00,0
2016-06-10 23:11:28,24.125,6.9,0.00,0
2016-06-10 23:11:38,24.187,6.9,0.00,0
2016-06-10 23:11:48,24.125,6.9,0.00,0
2016-06-10 23:11:58,24.187,6.8,0.00,0
2016-06-10 23:12:08,24.187,6.9,0.00,0
2016-06-10 23:12:18,24.125,6.9,0.00,0
2016-06-10 23:12:28,24.125,6.9,0.00,0
2016-06-10 23:12:38,24.125,6.8,0.00,0
